decimalLatitude,decimalLongitude,eventDate,species,vernacularName,recordID,dataResourceName
-18.640739,145.858628,2018-01-27T17:53:44Z,Casuarius casuarius,Southern Cassowary,cceb081c-12d6-4565-8260-0769ab78b673,ALA species sightings and OzAtlas
-18.639845,145.857431,2006-06-13T14:00:00Z,Casuarius casuarius,Southern Cassowary,cadb4d90-60a3-49a9-8b95-6ef482b3f219,WildNet - Queensland Wildlife Data
-18.639776,145.856692,2021-05-08T00:30:00Z,Casuarius casuarius,Southern Cassowary,c98ce965-a8e8-40db-bbdb-148cdc749968,eBird Australia
-18.639152,145.856365,2006-07-18T14:00:00Z,Casuarius casuarius,Southern Cassowary,396204f2-4080-4f96-99de-e0832295a58a,WildNet - Queensland Wildlife Data
-18.636237,145.85358,2018-09-06T20:00:00Z,Casuarius casuarius,Southern Cassowary,900549cd-c437-469c-8ecd-6876fb53578f,eBird Australia
-18.631667,146.134444,1871-03-15T13:47:52Z,Casuarius casuarius,Southern Cassowary,4e5351b8-5f8d-4db4-b6f2-580a69ea468c,WildNet - Queensland Wildlife Data
-18.631108,145.885814,2011-03-06T14:00:00Z,Casuarius casuarius,Southern Cassowary,692767e2-a8b3-40c6-8823-082a354cb1ea,WildNet - Queensland Wildlife Data
-18.631096,145.848181,2004-05-17T14:00:00Z,Casuarius casuarius,Southern Cassowary,3c761924-4bc5-41fe-abf4-d284f304f6b8,WildNet - Queensland Wildlife Data
-18.630955,145.850029,1999-05-07T14:00:00Z,Casuarius casuarius,Southern Cassowary,dfd1e327-e03c-416c-ba5e-c28d5f0c73b1,eBird Australia
-18.626041,146.018779,2011-06-28T14:00:00Z,Casuarius casuarius,Southern Cassowary,64c551ab-0fce-4312-8d20-b33b71c6aa2a,WildNet - Queensland Wildlife Data
-18.622549,145.846832,2019-07-04T03:46:00Z,Casuarius casuarius,Southern Cassowary,7c24508a-9843-4ea4-b888-9ca46f34f03f,iNaturalist Australia
-18.620337,145.843003,2004-12-16T14:00:00Z,Casuarius casuarius,Southern Cassowary,e0246714-287f-4d94-8ccd-2ee1469070c5,WildNet - Queensland Wildlife Data
-18.61483,145.955102,2013-08-26T04:00:00Z,Casuarius casuarius,Southern Cassowary,46470f5d-9840-4532-ab0d-75e914f130d3,eBird Australia
-18.601714,145.819878,2020-06-28T04:15:00Z,Casuarius casuarius,Southern Cassowary,9b14941c-5e22-418e-8bcf-3b3db096c5b8,eBird Australia
-18.601543,145.809877,2017-07-24T00:40:00Z,Casuarius casuarius,Southern Cassowary,41f42fe7-bd6a-496c-8a3e-53761f98cf16,eBird Australia
-18.600784,145.808486,2003-12-08T14:00:00Z,Casuarius casuarius,Southern Cassowary,8b8ecaf6-1308-449a-8d7d-e0333d275fd0,WildNet - Queensland Wildlife Data
-18.600636,145.816503,2019-07-14T02:28:00Z,Casuarius casuarius,Southern Cassowary,bf34ded1-82d4-42ac-8040-1971b8011210,iNaturalist Australia
-18.599337,145.802564,2004-02-03T14:00:00Z,Casuarius casuarius,Southern Cassowary,df38c0cd-1e1c-4085-b406-f9798a3f97e8,WildNet - Queensland Wildlife Data
-18.598903,145.802642,2003-06-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,8f0e6393-fcb7-498e-a222-5e6b30f8cfee,WildNet - Queensland Wildlife Data
-18.598861,145.803053,2011-06-24T14:00:00Z,Casuarius casuarius,Southern Cassowary,9971fff3-bd89-4b5c-b4b8-8105156efefd,WildNet - Queensland Wildlife Data
-18.598737,145.803054,2011-06-27T14:00:00Z,Casuarius casuarius,Southern Cassowary,14707837-d348-46a0-b727-48e5b221eb5a,WildNet - Queensland Wildlife Data
-18.598611,145.802871,2011-03-07T14:00:00Z,Casuarius casuarius,Southern Cassowary,489ca7ec-c38b-40d8-8a1f-6afef336a4bb,WildNet - Queensland Wildlife Data
-18.598459,145.801114,1994-06-16T14:00:00Z,Casuarius casuarius,Southern Cassowary,e6f4b1e3-ea4d-4c75-8346-950d0bc9ce13,WildNet - Queensland Wildlife Data
-18.598459,145.801114,1994-06-16T14:00:00Z,Casuarius casuarius,Southern Cassowary,dbd41495-0a55-43f3-b67f-93fa4493d70a,WildNet - Queensland Wildlife Data
-18.59822,145.798785,2001-02-12T14:00:00Z,Casuarius casuarius,Southern Cassowary,c9caa900-e28a-4580-9fae-ae374f32acc5,eBird Australia
-18.5976,145.798,1999-08-26T14:00:00Z,Casuarius casuarius,Southern Cassowary,b73c70df-034e-4df8-a25e-92d45df4d73b,WildNet - Queensland Wildlife Data
-18.594301,145.80109,1989-10-20T14:00:00Z,Casuarius casuarius,Southern Cassowary,33bce35a-eae5-40e0-b8ec-d2795a6f850d,WildNet - Queensland Wildlife Data
-18.58902,145.8055,2000-08-18T14:00:00Z,Casuarius casuarius,Southern Cassowary,0354abae-6a2f-45aa-99d8-a5bbb32d4a49,eBird Australia
-18.58902,145.8055,2013-06-27T22:50:00Z,Casuarius casuarius,Southern Cassowary,0e9c863f-74e2-4bf9-8387-bae66e391afa,eBird Australia
-18.58902,145.8055,2012-06-17T22:10:00Z,Casuarius casuarius,Southern Cassowary,d33a4a92-f35f-4485-8915-30f9254bac63,eBird Australia
-18.58902,145.8055,2012-05-11T14:00:00Z,Casuarius casuarius,Southern Cassowary,91daf62d-da4b-4c34-ba0a-9a439fd7cd05,eBird Australia
-18.58902,145.8055,2013-12-23T20:30:00Z,Casuarius casuarius,Southern Cassowary,6413238b-2f21-4907-81d1-2bd03532d5fe,eBird Australia
-18.58902,145.8055,2010-03-31T14:00:00Z,Casuarius casuarius,Southern Cassowary,6a3d533a-3fac-4e4d-8ca8-895a9e3da9e8,eBird Australia
-18.58902,145.8055,2012-08-26T22:00:00Z,Casuarius casuarius,Southern Cassowary,9e4b642f-24b0-4da8-af0d-77f292a5b8bb,eBird Australia
-18.58902,145.8055,2016-09-08T22:00:00Z,Casuarius casuarius,Southern Cassowary,f0c625e8-411e-43a8-9531-b71cb57871ce,eBird Australia
-18.58902,145.8055,2021-09-13T20:00:00Z,Casuarius casuarius,Southern Cassowary,ebaa1717-c2b6-4c36-8ad1-d892acad1be5,eBird Australia
-18.58902,145.8055,1999-04-26T02:00:00Z,Casuarius casuarius,Southern Cassowary,aec518b5-1879-4ef4-9680-5a345c1f2b5e,eBird Australia
-18.58902,145.8055,2014-11-06T03:00:00Z,Casuarius casuarius,Southern Cassowary,15f0c0f4-efa1-44be-ae7f-62d47a187e84,eBird Australia
-18.58902,145.8055,1999-05-04T14:00:00Z,Casuarius casuarius,Southern Cassowary,2d66d266-7128-4654-b3a3-1f2e71dc8e7f,eBird Australia
-18.58902,145.8055,2013-11-24T20:30:00Z,Casuarius casuarius,Southern Cassowary,56f82337-a3be-4ed2-bd2f-661c61f55b95,eBird Australia
-18.58902,145.8055,2010-07-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,8d8cb93e-18c6-4ca0-851a-66c30fd0ea74,eBird Australia
-18.58902,145.8055,2001-02-12T14:00:00Z,Casuarius casuarius,Southern Cassowary,1a856eba-62ca-4ede-aee3-f780572bf26c,eBird Australia
-18.58902,145.8055,2015-09-01T22:00:00Z,Casuarius casuarius,Southern Cassowary,61d76052-5553-4743-ae4f-9c7764b0dd76,eBird Australia
-18.58902,145.8055,2012-05-19T14:00:00Z,Casuarius casuarius,Southern Cassowary,14eed8d6-cb75-4c02-8a29-43e39e45415b,eBird Australia
-18.58902,145.8055,2014-01-31T21:30:00Z,Casuarius casuarius,Southern Cassowary,80307b84-ec55-4507-8b91-2ed4f043cee0,eBird Australia
-18.58902,145.8055,2010-08-11T23:00:00Z,Casuarius casuarius,Southern Cassowary,c9939cfb-ef3a-422b-bdc8-80d3529d46b0,eBird Australia
-18.58902,145.8055,2012-05-11T14:00:00Z,Casuarius casuarius,Southern Cassowary,0309e9e2-f623-4102-ba49-28dae7cb6696,eBird Australia
-18.587661,146.259386,2011-05-31T14:00:00Z,Casuarius casuarius,Southern Cassowary,96a5c40d-e9e3-4a54-a03a-cddb964b1472,WildNet - Queensland Wildlife Data
-18.57,146.12,1908-10-17T14:00:00Z,Casuarius casuarius,Southern Cassowary,cb370222-6d78-4751-8fd0-2c4549b2efe9,Museums Victoria provider for OZCAM
-18.562376,146.18529,2011-06-24T14:00:00Z,Casuarius casuarius,Southern Cassowary,14809540-0031-4529-b80e-0cdc44f4f747,WildNet - Queensland Wildlife Data
-18.547757,146.194706,2011-02-20T14:00:00Z,Casuarius casuarius,Southern Cassowary,4004be8f-2d8e-442a-845a-8b358f95a245,WildNet - Queensland Wildlife Data
-18.547726,146.041192,2011-02-22T14:00:00Z,Casuarius casuarius,Southern Cassowary,1a6969b8-ba89-4ecd-8315-99bdbc9abffc,WildNet - Queensland Wildlife Data
-18.546092,146.237764,2011-06-23T14:00:00Z,Casuarius casuarius,Southern Cassowary,1b4355c1-24fc-44eb-a911-857df8f6dfe8,WildNet - Queensland Wildlife Data
-18.545291,146.197046,2004-09-30T14:00:00Z,Casuarius casuarius,Southern Cassowary,a25ccf4f-19d6-4b2b-8f21-256096a03663,WildNet - Queensland Wildlife Data
-18.541371,146.179268,2011-04-06T14:00:00Z,Casuarius casuarius,Southern Cassowary,60b05984-049d-4452-af9a-5f4370dc5f67,WildNet - Queensland Wildlife Data
-18.539436,146.178233,2011-04-10T14:00:00Z,Casuarius casuarius,Southern Cassowary,38ae940f-99bf-4981-ad62-b8392944500f,WildNet - Queensland Wildlife Data
-18.5394,146.179173,2011-07-03T14:00:00Z,Casuarius casuarius,Southern Cassowary,1ece78a2-e985-4b56-89b7-63601bffd67b,WildNet - Queensland Wildlife Data
-18.534300000000002,146.1795,1991-04-16T14:00:00Z,Casuarius casuarius,Southern Cassowary,5af4e494-c7e5-4184-b4b2-03891b28046f,eBird Australia
-18.5331,146.1686,2011-07-19T14:00:00Z,Casuarius casuarius,Southern Cassowary,1cc3b694-ff23-444c-8b15-adb7bf5b00d1,WildNet - Queensland Wildlife Data
-18.532619,146.16673,2011-03-07T14:00:00Z,Casuarius casuarius,Southern Cassowary,914c65ee-86b1-4240-8c9b-314039e0a21c,WildNet - Queensland Wildlife Data
-18.530289,146.188109,2011-04-06T14:00:00Z,Casuarius casuarius,Southern Cassowary,1888734e-92b2-42f6-8b3f-f0d8ef51b9f9,WildNet - Queensland Wildlife Data
-18.53,146.3,1885-11-09T13:47:52Z,Casuarius casuarius,Southern Cassowary,9fb58e4f-c91a-422d-ae4a-5ee214b00a9b,Museums Victoria provider for OZCAM
-18.529441,146.187625,2011-02-16T14:00:00Z,Casuarius casuarius,Southern Cassowary,35618ddc-e6d5-4639-a5dd-ccacbedeec7c,WildNet - Queensland Wildlife Data
-18.526439,145.768789,2008-05-15T14:00:00Z,Casuarius casuarius,Southern Cassowary,5c6c1adc-d34b-4ebb-a65b-cd784a963f03,WildNet - Queensland Wildlife Data
