decimalLatitude,decimalLongitude,eventDate,species,recordID,dataResourceName,vernacularName
-17,145.833333,1981-11-03T14:00:00Z,Cryptocarya pleurosperma,d0e28c9a-ef32-4af3-a2fd-5a091ecbd8d2,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.833333,1981-11-03T14:00:00Z,Cryptocarya pleurosperma,95fa4f9c-4e97-49a7-a8e0-1125a1494486,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.833333,1981-11-03T14:00:00Z,Cryptocarya pleurosperma,27acdf82-820a-4c45-a18e-d40f8d79befb,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.833333,1976-09-20T14:00:00Z,Syzygium cormiflorum,c75b1e6e-8ba7-4724-927f-324b04aa8ed8,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.58,1972-04-03T14:00:00Z,Elaeocarpus bancroftii,30bf4a21-9408-4809-9453-5b0c37d31054,NSW AVH feed,Quandong
-17,145.833333,1975-12-21T14:00:00Z,Cryptocarya oblata,cd3c1697-46c5-41ed-b19a-55642ee2ea78,Australian Tropical Herbarium (CNS) AVH data,Bolly Silkwood
-17,145.833333,1975-07-29T14:00:00Z,Elaeocarpus bancroftii,b7716ec5-6138-4fcb-8ed5-9e2e8d282a5a,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.583333,1972-04-05T14:00:00Z,Elaeocarpus bancroftii,721d0dfc-4df0-4dd6-82b2-54ac9b04914f,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1976-11-24T14:00:00Z,Syzygium cormiflorum,9c5e2401-d74d-45c4-bb42-b09a1b8fd796,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.583333,1972-04-05T14:00:00Z,Elaeocarpus bancroftii,e1000260-85cc-496c-911a-9b21d5723840,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1972-08-07T14:00:00Z,Syzygium cormiflorum,5b9a5cd1-3b2b-47de-bef8-11be214d97e5,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.583333,1972-10-31T14:00:00Z,Syzygium kuranda,e4781fea-82ef-461f-ba7b-741b0ed289c0,Australian Tropical Herbarium (CNS) AVH data,Cherry Penda
-17,145.833333,1988-10-19T14:00:00Z,Elaeocarpus bancroftii,a1daff0c-7002-4603-8170-cb7510c7b56f,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1975-12-21T14:00:00Z,Cryptocarya oblata,8c94ee10-e958-440d-84a9-24be4d153ed2,Australian Tropical Herbarium (CNS) AVH data,Bolly Silkwood
-17,145.583333,1975-03-24T14:00:00Z,Syzygium cormiflorum,f6bb1308-fade-4223-824e-bc7bfe7eb073,Centre for Australian National Biodiversity Research (CANB) AVH data,Watergum
-17,145.833333,1976-11-24T14:00:00Z,Syzygium cormiflorum,1f2ba3a2-2e96-4481-991d-4d75159e817c,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1981-11-03T14:00:00Z,Cryptocarya pleurosperma,6f712423-02b5-49bb-8503-0958b0c98086,Australian Tropical Herbarium (CNS) AVH data,Poison Laurel
-17,145.583333,1972-04-05T14:00:00Z,Elaeocarpus bancroftii,8bba705d-9f3c-49ae-b1c1-1de2c33860e9,Australian Tropical Herbarium (CNS) AVH data,Quandong
-17,145.833333,1972-08-07T14:00:00Z,Syzygium cormiflorum,31854087-67f5-4d69-84d9-b401fa0c0af4,Australian Tropical Herbarium (CNS) AVH data,Watergum
-17,145.833333,1974-05-08T14:00:00Z,Syzygium cormiflorum,fc7904c6-6e66-4d1e-b2e7-711a0dce2907,Australian Tropical Herbarium (CNS) AVH data,Watergum
