"species","decimalLatitude","decimalLongitude"
"Pardalotus punctatus",-32.92009,134.97464
"Pardalotus punctatus",-33.782205,151.141298
"Pardalotus punctatus",-17.5917,145.3
"Pardalotus punctatus",-37.4625,148.3655
"Pardalotus punctatus",-32.92564,151.707804
"Pardalotus punctatus",-37.8637,145.9047
"Pardalotus punctatus",-37.4166,148.4347
"Pardalotus punctatus",-33.744968,151.039867
"Pardalotus punctatus",-37.8017,143.7484
"Pardalotus punctatus",-37.997312,145.130253
"Pardalotus punctatus",-33.43453,151.409477
"Pardalotus punctatus",-36.898493,144.28463
"Pardalotus punctatus",-35.33514,138.72729
"Pardalotus punctatus",-37.0266,143.3346
"Pardalotus punctatus",-33.545642,151.28726
"Pardalotus punctatus",-32.677304,152.179832
"Pardalotus punctatus",-33.89527,150.975
"Pardalotus punctatus",-27.657584,153.230229
"Pardalotus punctatus",-34.807809,147.919606
"Pardalotus punctatus",-37.9481,146.3428
"Pardalotus punctatus",-28.0172,153.1647
"Pardalotus punctatus",-37.2226,144.0455
"Pardalotus punctatus",-27.37341,152.192746
"Pardalotus punctatus",-27.373407,152.592739
"Pardalotus punctatus",-37.6636,145.2308
"Pardalotus punctatus",-37.431815,145.434623
"Pardalotus punctatus",-35.648281,150.295071
"Pardalotus punctatus",-37.8932,146.3547
"Pardalotus punctatus",-37.198488,144.984626
"Pardalotus punctatus",-37.9928,145.1341
"Pardalotus punctatus",-34.981865,138.673577
"Pardalotus punctatus",-38.246665,144.528739
"Pardalotus punctatus",-43.03431,147.3326
"Pardalotus punctatus",-33.897698,148.002735
"Pardalotus punctatus",-36.7401,144.2142
"Pardalotus punctatus",-37.73634,145.24384
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-35.95415,136.78112
"Pardalotus punctatus",-35.270032,149.158078
"Pardalotus punctatus",-33.915111,148.034541
"Pardalotus punctatus",-37.5557,145.0772
"Pardalotus punctatus",-36.3336,146.1828
"Pardalotus punctatus",-37.092486,142.385302
"Pardalotus punctatus",-37.3529,145.9269
"Pardalotus punctatus",-37.7491,145.1119
"Pardalotus punctatus",-33.70263,150.58444
"Pardalotus punctatus",-37.431815,145.434623
"Pardalotus punctatus",-36.379486,145.359292
"Pardalotus punctatus",-30.295282,153.123792
"Pardalotus punctatus",-37.3138,145.8902
"Pardalotus punctatus",-37.8156,145.338
"Pardalotus punctatus",-30.28035,150.16579
"Pardalotus punctatus",-37.9022,146.3637
"Pardalotus punctatus",-37.9445,147.1293
"Pardalotus punctatus",-27.424153,152.902777
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-37.8964,144.5043
"Pardalotus punctatus",-38.103,147.2128
"Pardalotus punctatus",-28.379922,152.757132
"Pardalotus punctatus",-37.4931,148.3706
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-27.441017,152.921315
"Pardalotus punctatus",-37.313,145.9026
"Pardalotus punctatus",-34.495128,147.415134
"Pardalotus punctatus",-37.611,144.5161
"Pardalotus punctatus",-37.7541,148.6762
"Pardalotus punctatus",-35.96158,137.20263
"Pardalotus punctatus",-33.027419,146.193831
"Pardalotus punctatus",-35.30555,138.78056
"Pardalotus punctatus",-26.623407,152.842729
"Pardalotus punctatus",-37.4976,145.2189
"Pardalotus punctatus",-37.6201,145.276
"Pardalotus punctatus",-34.998534,138.751356
"Pardalotus punctatus",-35.97228,137.18408
"Pardalotus punctatus",-37.5491,145.2924
"Pardalotus punctatus",-27.603419,152.52329
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-33.929167,151.136667
"Pardalotus punctatus",-34.8383,138.84287
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-26.662857,152.023297
"Pardalotus punctatus",-34.5147,139.93643
"Pardalotus punctatus",-37.7055,148.8566
"Pardalotus punctatus",-33.43453,151.409477
"Pardalotus punctatus",-28.968043,153.406491
"Pardalotus punctatus",-37.031842,142.367999
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.4891,148.3309
"Pardalotus punctatus",-27.566389,152.202222
"Pardalotus punctatus",-37.5518,146.2387
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-35.066594,138.756917
"Pardalotus punctatus",-36.898493,144.28463
"Pardalotus punctatus",-33.006752,151.54003
"Pardalotus punctatus",-37.385,148.4431
"Pardalotus punctatus",-28.560967,153.405939
"Pardalotus punctatus",-37.5777,145.217
"Pardalotus punctatus",-30.412588,151.636666
"Pardalotus punctatus",-37.5085,144.9992
"Pardalotus punctatus",-43.02874,147.31464
"Pardalotus punctatus",-36.7854,144.3851
"Pardalotus punctatus",-35.23264,139.13077
"Pardalotus punctatus",-33.785966,150.510581
"Pardalotus punctatus",-28.560967,153.405939
"Pardalotus punctatus",-37.6201,145.276
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-35.278176,149.118033
"Pardalotus punctatus",-37.6583,145.1822
"Pardalotus punctatus",-35.23264,139.13077
"Pardalotus punctatus",-37.9272,146.3179
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.6111,145.2162
"Pardalotus punctatus",-28.483232,153.440377
"Pardalotus punctatus",-34.971869,138.668023
"Pardalotus punctatus",-27.656735,153.226065
"Pardalotus punctatus",-37.0151,144.3013
"Pardalotus punctatus",-37.9145,146.2999
"Pardalotus punctatus",-38.3839,144.0778
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-33.334236,151.439206
"Pardalotus punctatus",-34.98005,140.46281
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-36.8022,144.3285
"Pardalotus punctatus",-33.15504,135.03517
"Pardalotus punctatus",-37.6984,145.154
"Pardalotus punctatus",-35.98223,136.90528
"Pardalotus punctatus",-32.972815,151.546844
"Pardalotus punctatus",-37.4647,143.4612
"Pardalotus punctatus",-37.992,145.1376
"Pardalotus punctatus",-37.6131,144.6157
"Pardalotus punctatus",-33.716927,151.10827
"Pardalotus punctatus",-37.3626,146.0058
"Pardalotus punctatus",-36.7401,144.2142
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-34.692034,150.726594
"Pardalotus punctatus",-34.981865,138.673577
"Pardalotus punctatus",-34.7157,142.285
"Pardalotus punctatus",-35.98191,137.24817
"Pardalotus punctatus",-37.716,148.8194
"Pardalotus punctatus",-37.68382,145.53279
"Pardalotus punctatus",-37.5961,145.2981
"Pardalotus punctatus",-28.240066,153.359401
"Pardalotus punctatus",-37.5298,145.2691
"Pardalotus punctatus",-34.773498,142.226311
"Pardalotus punctatus",-38.2568,144.5263
"Pardalotus punctatus",-37.6477,144.8209
"Pardalotus punctatus",-28.379023,152.759176
"Pardalotus punctatus",-37.6096,145.1811
"Pardalotus punctatus",-37.7174,145.2171
"Pardalotus punctatus",-37.8507,146.8597
"Pardalotus punctatus",-27.566389,152.202222
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.0901,143.1763
"Pardalotus punctatus",-37.642,145.2359
"Pardalotus punctatus",-36.898493,144.28463
"Pardalotus punctatus",-37.646,145.2596
"Pardalotus punctatus",-37.5401,145.2926
"Pardalotus punctatus",-37.7989,145.6478
"Pardalotus punctatus",-43.01971,147.925758
"Pardalotus punctatus",-37.8851,146.357
"Pardalotus punctatus",-37.8358,144.2121
"Pardalotus punctatus",-34.015094,151.001161
"Pardalotus punctatus",-37.9893,145.1399
"Pardalotus punctatus",-37.897,144.7544
"Pardalotus punctatus",-37.578749,149.746635
"Pardalotus punctatus",-27.623403,153.092733
"Pardalotus punctatus",-33.782671,150.981901
"Pardalotus punctatus",-34.971869,138.668023
"Pardalotus punctatus",-36.8022,144.3285
"Pardalotus punctatus",-36.8022,144.3285
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-36.5734,144.3263
"Pardalotus punctatus",-37.6224,145.1921
"Pardalotus punctatus",-33.652556,151.040554
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-33.900526,150.974974
"Pardalotus punctatus",-37.6924,145.2925
"Pardalotus punctatus",-37.7615,148.7865
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.5455,144.5262
"Pardalotus punctatus",-37.9919,145.133
"Pardalotus punctatus",-37.431815,145.434623
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-28.397896,153.283839
"Pardalotus punctatus",-35.281855,139.551346
"Pardalotus punctatus",-37.5489,145.2788
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-35.33514,138.72729
"Pardalotus punctatus",-33.621795,151.247234
"Pardalotus punctatus",-37.2329,148.633
"Pardalotus punctatus",-34.88174,138.78522
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-34.431834,142.017973
"Pardalotus punctatus",-36.7854,144.3851
"Pardalotus punctatus",-34.208238,140.631884
"Pardalotus punctatus",-35.33514,138.72729
"Pardalotus punctatus",-26.565,152.884444
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-34.88174,138.78522
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-37.4839,148.3116
"Pardalotus punctatus",-36.7854,144.3851
"Pardalotus punctatus",-29.737605,152.928691
"Pardalotus punctatus",-34.5147,139.93643
"Pardalotus punctatus",-33.47296,136.87789
"Pardalotus punctatus",-36.7854,144.3851
"Pardalotus punctatus",-33.49537,138.07572
"Pardalotus punctatus",-37.2263,148.6565
"Pardalotus punctatus",-37.7557,148.7523
"Pardalotus punctatus",-37.6423,146.307
"Pardalotus punctatus",-36.815084,149.937934
"Pardalotus punctatus",-36.272198,139.891305
"Pardalotus punctatus",-32.961996,146.122737
"Pardalotus punctatus",-37.5287,145.8349
"Pardalotus punctatus",-38.0926,146.3917
"Pardalotus punctatus",-37.7789,148.8891
"Pardalotus punctatus",-37.8765,144.4152
"Pardalotus punctatus",-37.3864,146.0552
"Pardalotus punctatus",-36.3338,146.2162
"Pardalotus punctatus",-27.423405,152.896901
"Pardalotus punctatus",-37.8346,145.6995
"Pardalotus punctatus",-37.6391,144.522
"Pardalotus punctatus",-34.97919,139.68462
"Pardalotus punctatus",-37.4556,143.3796
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-28.213054,153.15156
"Pardalotus punctatus",-37.1934,143.4209
"Pardalotus punctatus",-36.5568,144.3429
"Pardalotus punctatus",-37.94834,145.297966
"Pardalotus punctatus",-37.62,145.2726
"Pardalotus punctatus",-32.00129,132.9383
"Pardalotus punctatus",-32.630639,151.766413
"Pardalotus punctatus",-30.298409,153.11775
"Pardalotus punctatus",-33.929167,151.136667
"Pardalotus punctatus",-37.9875,145.4866
"Pardalotus punctatus",-36.5766,144.3139
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.8967,146.3467
"Pardalotus punctatus",-37.4666,144.3412
"Pardalotus punctatus",-37.7532,148.6762
"Pardalotus punctatus",-37.68382,145.53279
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-38.6587,143.8164
"Pardalotus punctatus",-37.3318,145.8899
"Pardalotus punctatus",-38.16696,145.21226
"Pardalotus punctatus",-37.9087,146.3898
"Pardalotus punctatus",-37.8976,146.3467
"Pardalotus punctatus",-37.8907,145.9964
"Pardalotus punctatus",-38.4206,145.0602
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-37.8775,144.1843
"Pardalotus punctatus",-37.792,145.9512
"Pardalotus punctatus",-37.68382,145.53279
"Pardalotus punctatus",-37.9272,146.3179
"Pardalotus punctatus",-37.5242,146.2945
"Pardalotus punctatus",-37.6047,144.9909
"Pardalotus punctatus",-37.6301,145.3449
"Pardalotus punctatus",-32.381761,149.834491
"Pardalotus punctatus",-36.7844,144.3403
